经纬度,count
"120.24262248435173, 30.24480732184139",239
"120.2498883646895, 30.189902969140658",973
"120.24462319038354, 30.243071002078587",239
"120.18619201018151, 30.29160700970139",239
"120.25015913283461, 30.233940490890998",157
"120.26284675494226, 30.21070961872791",567
"120.25991217050226, 30.17981434810647",554
"120.15562112977821, 29.91798859809446",2302
"120.30031202352471, 30.23662822916354",7434
"120.46962644265638, 30.30501622379259",1970
"120.04754331573564, 30.42115617633917",170
"120.28162825705324, 30.382443332881753",120
"120.49187154132217, 30.235474229029155",923
"120.28353203592053, 31.988170075210594",120
"120.24469613279096, 30.187765799727146",609
"120.24787182242983, 30.186572042402556",129
"120.24701663558433, 30.186235671165782",484
"119.04633797114336, 29.59962687680495",129
"120.47098351279031, 30.194283600557057",517
"120.46568674687617, 30.18732864828694",275
"120.12935101218986, 30.339790935114717",400
"120.53318191680951, 30.165677206469404",460
"120.46962826891148, 30.180332565926093",227
"120.23295428175813, 30.19307414338817",2281
"120.47184891965759, 30.182002167869488",227
"120.47113002641898, 30.18030114252085",352
"119.23118303098889, 30.170573769209778",227
"120.47017395986471, 30.181480147431614",1147
"120.26558200538959, 30.17642014418727",1141
"120.24008010009739, 30.18394425757489",893
"120.28900136901802, 30.171988308584652",120
"120.2924569706538, 30.175728129510517",1026
"120.2954498551214, 30.176232584186284",1143
"120.16676821963092, 30.012104930696225",4415
"120.41618454108732, 30.14730586188551",461
"120.41551288524396, 30.164862323440616",266
"120.41576503241416, 30.163570162451727",266
"120.41553210179542, 30.16788693094022",266
"120.4153035728737, 30.16809097744054",266
"119.12793537245415, 29.301258681563027",266
"120.22280487666553, 30.059934075613388",127
"120.22853669463306, 30.05591692894664",243
"120.60586758850498, 30.16365126950035",364
"120.6455495741537, 30.282313947837476",16129
"120.27993441218362, 30.199635460077292",182
"120.29017644245563, 30.202659768300123",296
"120.28594650596177, 30.205045138719996",182
"120.29450362950399, 30.214334547800707",296
"120.26899478300511, 30.206033158560444",182
"120.2900620701981, 30.20526201141591",182
"120.59693789275248, 30.155470905672193",525
"120.35650830944846, 30.17265607457184",360
"120.42619795260704, 30.285443215464674",3053
"120.19121389730451, 30.068299574455338",125
"120.32266429003785, 30.103919980480466",150
"120.32398632625689, 30.09115404911591",150
"120.32596693270291, 30.244639289078194",445
"120.29978471819035, 30.01637569024657",743
"120.3090305276518, 30.422683929208656",1296
"120.25592951621127, 29.986851666532946",152
"120.56996770710421, 30.310725060477218",838
"120.59413616769743, 30.317854788593745",932
"118.91555537876933, 29.863337076390245",360
"119.1231509973096, 29.307892051342357",2925
"120.19680396266254, 30.04235525450986",122
"120.46541599490055, 30.300518056877625",185
"120.5609310231655, 30.321542010583546",93
"120.49995186855395, 30.332789586661566",733
"120.49220481266637, 30.30181814636298",1268
"120.5527826735456, 30.188866828110847",135
"120.23335062403048, 30.341133218223487",107
"120.29218702984807, 30.172190160947707",4748
"120.42351997811903, 30.190972498561358",506
"120.41440369353245, 30.19461827924863",446
"120.42302765280124, 30.193028272190833",107
"120.42475536378858, 30.194629308563716",107
"120.30718251672722, 29.98647316026989",312
"120.31211153588993, 30.017489125053885",3212
"120.29775346977118, 30.04342486025557",271
"120.29808340055855, 29.967599803606614",271
"120.31497066266708, 30.15070443556114",1256
"120.44938205002241, 30.15159141806324",1429
"120.240465007201, 29.977468582690456",481
"120.27728996360376, 29.95176154096987",173
"120.54160065638793, 30.171334119846755",621
"120.27303075288171, 30.165459817242557",1649
"120.65782701649091, 30.270223257808723",282
"120.36753366212517, 30.215442182715066",1480
"120.25738766252758, 30.043448073345562",118
"120.25785666783433, 30.043221022515542",118
"120.16453772704963, 30.157240482298796",1566
"120.56079825361111, 30.30431358652059",135
"120.28087898042736, 30.13343918974066",275
"120.26999556002121, 30.16210187122347",1812
"120.27346462096847, 30.14869182434922",103
"120.27768523484772, 30.147122149720865",275
"120.26539803242115, 30.142720137398",305
"120.27325802597235, 30.14982314437767",1487
"120.25728300993566, 30.155408138082354",103
"116.87243317374606, 38.32036671947827",1396
"120.60269073106893, 30.176167722529",870
"120.59882280720407, 30.179811850517833",420
"120.5958750176731, 30.177476108847994",420
"120.60547574764153, 30.163307012939615",510
"120.61606362553489, 30.185428063282842",1116
"120.60041181982068, 30.179217734803675",420
"120.60064439111721, 30.17692006827096",420
"120.27425945695488, 30.174630074943472",420
"120.60639165993949, 30.173434986013444",420
"120.60454330652216, 30.185945267129924",420
"120.20428990179938, 30.01869432855726",1999
"120.57081498886123, 30.171724167042573",603
"120.60677227198408, 30.18158309309938",860
"120.10900457025336, 30.367493479704503",649
"120.5990599598587, 30.17725210074298",420
"120.28658600516279, 30.220416604229225",762
"120.24997555512059, 30.229050356633007",325
"120.40533301052677, 30.182900304157307",670
"120.48320388128694, 30.24668548558899",1883
"120.32084180781919, 30.1992044005322",1804
"120.28902328767246, 30.21976554906645",321
"120.29175180082848, 30.225293957282762",540
"120.59405576935427, 30.195912943660066",111
"120.24174313308801, 30.248887056037848",180
"120.25034656427927, 30.04933800241436",73
"120.38231644708902, 30.22985629790536",2613
"120.35992097208087, 30.235349888871283",4784
"120.18871364357858, 30.129402803425243",220
"109.6145474722304, 25.78883038778805",220
"120.29650150138194, 30.44280926998164",2101
"120.24201339548712, 30.222716742817106",1179
"120.25219006684685, 30.234293459151576",787
"120.26356117731436, 30.220109294252005",509
"120.24711850342916, 30.221218539051446",509
"120.26510347804444, 30.220545020347735",509
"120.2582673731135, 30.22028358492425",509
"120.25971535176502, 30.21949069247656",509
"120.26339301452288, 30.22041418569803",509
"120.26250539884846, 30.221088797539",509
"120.24356301022067, 30.22136045094678",509
"120.2500604629574, 30.16872098962798",15414
"119.93627102068962, 30.055640516944663",325
"120.41445179958913, 30.26216507168771",2487
"120.25294554178073, 30.203840375576785",564
"120.25487339523569, 30.20285227146722",120
"120.19372978154631, 30.11123832996579",180
"120.2763938140273, 29.931534501455516",73
"120.27604122911475, 29.93144216924636",553
"120.44058359670494, 30.200538618843566",270
"120.44017450837568, 30.20107236347986",270
"120.44190958546821, 30.200146189818643",270
"120.31125958294427, 30.209305394299264",701
"120.15247725693378, 30.30931768103144",494
"120.2793119996517, 30.16419313662494",461
"120.2132855331763, 30.210459080419202",461
"120.27933439350974, 30.166000511533852",461
"120.27802067290482, 30.16698153775011",461
"120.34520906342176, 30.197457200845907",461
"120.28345810537705, 30.16277376415557",2427
"120.27996285343436, 30.166152866923778",461
"120.27661301739103, 30.16892401978175",1859
"120.19875774759723, 30.481487310830882",461
"120.301999131103, 30.14956456416552",2094
"120.48643023535658, 30.217377009237364",567
"120.23834259757999, 30.187231357878208",240
"120.41648367682214, 30.17418204514828",330
"120.31178275607327, 30.306416182601826",130
"120.28891719779175, 30.1615850531384",130
"120.28512760616735, 30.16145269038976",130
"120.14649650173308, 29.918545952527612",980
"119.73705237045299, 30.242110595918007",987
"120.45558224448283, 30.163705835224675",467
"120.1921103163729, 30.119113363945786",164
"120.23885915828214, 30.11878118701644",164
"120.21847118139375, 30.214332950144062",402
"120.25016825063554, 30.14894145486919",363
"120.29856616676607, 30.436413701680376",432
"120.18449097886783, 30.252282089325057",628
"120.46860473602018, 30.30249565484987",85
"119.68303645166306, 30.29296436244995",553
"119.62300178131889, 29.849106125636183",1011
"120.49274352648071, 30.2756082141435",1176
"120.00932158408322, 30.288092975331892",226
"120.49049888918087, 30.23321974544987",1230
"120.4694881934384, 30.188866828110847",1297
"120.47974297964865, 30.24428107070332",226
"120.4819447264536, 30.239240942861006",226
"120.4766407714005, 30.236966922563287",2877
"120.50848085087945, 30.253987906481978",226
"120.18884901821895, 30.333240043312884",226
"120.47568084213252, 30.243915181358773",226
"120.47425406349102, 30.238404445294798",767
"120.2789430422228, 30.14510917892021",613
"120.47983703223554, 30.244814107631157",226
"120.48177374028792, 30.23842936809645",474
"120.46686133972034, 30.24497792121045",1020
"120.208744212552, 30.18753614711454",420
"120.23444799404147, 30.184883150512956",420
"120.23539825933877, 30.204289654688637",420
"120.28469534155595, 30.198907324171174",180
"120.27987745961428, 30.19921360855834",180
"120.31027252484989, 30.20739233319467",180
"120.28499456712132, 30.21235327761889",180
"120.27426314000748, 30.189620168479514",180
"120.25537725479624, 30.189266092207422",180
"120.28779521420978, 30.199542911972173",1292
"119.71241086217823, 30.23356246204522",991
"120.28270855925953, 30.197976838004422",180
"120.274892043695, 30.186078099182705",180
"120.27923211693592, 30.197222001497607",180
"119.73592903941275, 30.23193507474447",190
"119.4393950898213, 29.933399689088468",893
"120.2020759380395, 30.249224848830384",190
"120.18493195704268, 30.0717562146158",387
"120.16263152275747, 30.020580439215852",157
"120.18196602174038, 30.059119875297252",1451
"120.08526145731912, 30.16688269433802",120
"120.66258817852439, 30.274720928302663",191
"120.66022459389706, 30.244568726932343",361
"120.6262522964596, 30.27075825791559",761
"120.22271271052021, 30.32013673648447",191
"120.234753962288, 30.188145063890264",393
"120.2324209676582, 30.185347286517636",393
"120.23249480837113, 30.184567767783637",393
"120.2324435151265, 30.185408473947867",393
"120.2001906642657, 30.010302706063648",451
"120.27641934272307, 30.16077368446039",2250
"120.27312277260326, 30.18742291792285",1164
"120.27229028144644, 30.182153702028995",790
"120.28782369049445, 30.16139804534143",426
"120.24281040986442, 30.19857255618591",195
"120.279307125446, 30.182535589029257",3763
"120.3814044873353, 36.09344959486011",6548
"120.31181355112129, 29.953696500534218",2029
"120.09995457463208, 29.887779454297807",540
"120.3980957223551, 30.245231159802042",135
"120.39322241496346, 30.24293060381627",135
"120.55028538422785, 30.231272083305356",109
"120.52449449405307, 30.239209742036497",559
"120.29932164169996, 30.22792398166437",526
"110.86349072743869, 26.439723697953905",175
"120.03300576817601, 30.366326233387525",200
"120.27231410361028, 30.205623120468523",1014
"120.29029151539144, 30.202263212137975",125
"120.29571296880528, 30.216069080392124",295
"120.52766982436975, 30.166437595260888",150
"120.52827780292874, 30.167037321844326",244
"119.57619073667857, 30.3003053232253",205
"120.31548000189123, 30.219141015727732",2627
"120.29201329756242, 30.177812120041",716
"120.26648857531026, 30.19042579061285",51
"120.2890474520907, 30.167357844339467",169
"120.21184141723847, 30.296227123521383",169
"120.21293106182208, 30.297924451840746",169
"120.29070796982589, 30.167780848448032",479
"120.29161579737426, 30.162536529570446",407
"120.26490540167947, 30.166239712083463",735
"120.24638681652348, 30.133622688381024",585
"120.26652226176688, 30.167213746193436",585
"120.26840214570763, 30.16757094684147",739
"120.26775675362244, 30.166843117134544",585
"120.34280106567171, 30.21709403184772",771
"120.3025964144366, 30.21805714245951",66
"120.26407078603015, 30.219809004891136",72
"120.26095195913007, 30.23603609791221",682
"120.2727622511614, 30.175942306470095",1696
"120.29165065162806, 30.210853808655187",1912
"120.30457547130563, 30.210228086804733",218
"120.2964124793059, 30.21896227596757",218
"120.05972522000873, 29.978997988605744",1524
"120.24446966997188, 30.034325921933906",432
"120.29577026901885, 30.084111437252606",150
"120.33219683861807, 30.1721179593577",2931
"120.29417219519456, 30.115661207562315",314
"120.2401820622643, 30.178664349288162",417
"120.24630499795933, 30.179090669123386",101
"120.27727749397675, 30.163428244470143",1503
"120.29161184483002, 30.16481517554632",116
"120.20585205508124, 30.009017493525523",436
"120.39541904142702, 30.194041292069873",323
"120.39752481506788, 30.19049120999073",90
"120.39374927024676, 30.172995123957932",394
"120.26446379469077, 30.1420505269374",30
"120.47190434690417, 30.336918238223024",2246
"120.24341856269466, 30.17080310051563",227
"120.24404045959922, 30.16605236669367",3442
"119.86532948459944, 30.33689749370215",195
"120.24713664920046, 30.18982924222726",90
"120.35866271555304, 30.23104843286259",136
"120.35700740798981, 30.231343851039966",136
"120.3578967304447, 30.23309449932496",136
"120.36110233365704, 30.23552173410399",1253
"120.37292370269361, 30.23512703986486",136
"120.35878627118781, 30.233883732712446",136
"120.35993157208588, 30.232388377622517",136
"120.36139077955629, 30.231771414023036",136
"120.3615299450459, 30.233726976032088",136
"120.35865615792282, 30.23240538326503",136
"120.35861451158107, 30.233278438350965",136
"120.2798702731702, 30.171520674533596",102
"120.27910006602595, 30.172144654438284",242
"120.4693943205126, 30.27369130994055",530
"120.3172778705389, 30.195415067867806",88
"120.28971974393437, 30.16492469597082",144
"120.23800204996115, 30.035715700224834",317
"120.24696264742319, 30.21717540646114",940
"116.7235246469334, 23.37777578062844",655
"120.19662888291865, 30.25004120906647",792
"120.29269538093617, 30.1473972884226",846
"120.24987324710607, 30.063420783240062",912
"120.23738392593974, 30.075298210510237",1758
"120.27546344325363, 30.161815009471468",1154
"120.27564869630743, 30.224831396806664",1600
"120.27215760172263, 30.233551385107347",1153
"120.43596558773923, 30.195166363130134",1592
"120.42266851025833, 30.198106610299924",1921
"120.52352585122166, 30.169675562748367",388
"120.40808595759266, 30.26714256368448",105
"120.40463296104285, 30.27073954348845",105
"120.40690800957742, 30.267310063878135",404
"120.26373850282202, 30.18056049984835",481
"120.11915748861878, 30.28283907202439",93
"120.23156694860987, 30.084355298714947",143
"120.19075594115552, 30.067109826927464",146
"120.25603346697129, 30.07080709235258",352
"120.25125967745727, 30.069338640821787",187
"120.34898742622727, 30.207240803541783",521
"120.26903498512256, 29.97479497853967",187
"120.19844597530424, 30.08902633615241",319
"120.2039718118183, 30.07471635123056",180
"120.20029396939935, 30.07956621884439",180
"120.20513727338695, 30.07551213883519",180
"120.383663905354, 30.23601043438961",659
"120.51656658860531, 30.201095305069753",240
"120.51309185306216, 30.20920442855787",2363
"120.5120921288601, 30.20769742050384",2097
"120.34842957850557, 30.199158516456762",1506
"120.44310487077979, 30.22262001722621",1221
"120.54566396170121, 30.199013762981973",2371
"120.50475566776012, 30.269973730443606",1547
"120.51463253684233, 30.36541394238187",615
"120.51265797150084, 30.344304987897477",60
"120.43275198960784, 30.196580077627516",180
"120.29271792840446, 30.01673500537285",1540
"120.39888632103444, 30.240058634902326",126
"120.29511667360775, 30.020191899944095",126
"120.22137019293557, 30.063132358402036",116
"120.45240511755514, 30.34862020760835",413
"120.43027104945038, 30.271335128364438",656
"120.47213388282637, 30.33670109114465",413
"120.46835345391818, 30.351748802862875",413
"120.4714564706413, 30.33977225363076",413
"120.49722059131187, 30.277506367405962",531
"120.17483347599115, 30.375008887752298",1018
"120.4757960048989, 30.348629791057757",413
"120.46702773464656, 30.30372974049803",1258
"120.46863237777904, 30.347116373448006",413
"120.47081768559316, 30.336315289591088",917
"120.47112724167191, 30.336257781572993",413
"110.05039480879458, 40.58222803832416",413
"120.56220661698967, 30.28799372856049",487
"120.2850879010638, 30.15936967756931",3511
"120.54968500623178, 30.28806667829975",932
"120.54718802682945, 30.286653068597676",2738
"120.57146383493108, 30.280468921926737",487
"120.55194751891295, 30.28225104254755",1879
"120.55517811837443, 30.286638368949166",487
"120.56669176657043, 30.287668388668592",487
"120.54873436993432, 30.28715702668847",487
"114.1904640859797, 22.845626916664397",91
"120.30105078997612, 30.241003539192317",1661
"120.47427077197352, 30.187969570519392",804
"120.58861922440789, 30.311834986448623",718
"120.56121327075674, 30.32141326023501",529
"120.5970694945097, 30.300021183926173",1602
"120.592401270266, 30.328065735326494",146
"120.59739099805172, 30.30799500946665",432
"120.49829002402151, 30.278668055712632",1951
"120.57735501229608, 30.321040958780024",146
"120.33601796076587, 30.200945482344334",746
"128.45295706120504, 45.02530896114458",902
"120.26705477727322, 30.05977247079065",690
"120.29712052370886, 30.144207771169988",1329
"120.28134168501929, 30.158735218849355",169
"120.28147096375842, 30.157852140823692",273
"120.23258302197222, 30.27621406153638",522
"120.38149494670014, 30.198101694094643",443
"120.40397629971507, 30.218344759169117",189
"120.4027324160754, 30.20491024467449",343
"120.46657498866952, 30.309801021832154",98
"120.52022520728636, 30.214312118265706",263
"120.33018077156203, 30.22087791845211",2140
"120.27093689436514, 30.167408426953497",573
"120.47835357051636, 30.230635922431453",547
"120.34122723441823, 30.193205888947933",380
"120.34005907793305, 30.19164466871526",380
"120.34267503340867, 30.192635110573136",1009
"120.34012528304915, 30.19189490421728",742
"120.34275624022676, 30.193806162517628",1322
"120.27861596918663, 30.18607513348667",669
"120.29784608506927, 30.175475940220977",669
"120.25407417282348, 30.20745764224633",646
"120.39373270728977, 30.230027692971987",107
"120.20572503468213, 30.34068914971759",220
"118.73691135464189, 32.01709401628326",147
"120.2580635475933, 30.113056741157447",73
"120.51386928348103, 30.22183400702645",110
"120.27884796736424, 30.146380693515866",172
"120.2735947108775, 30.160127383212775",172
"120.28938352165656, 30.163861489523303",239
"120.41191381703177, 30.254453273039864",2387
"120.3442889290879, 30.189076215642935",7810
"120.30875106480765, 30.445350192395583",733
"120.34247399263552, 30.18290467479898",245
"120.32737338448733, 30.194391438487475",245
"120.48678596433852, 30.30913076678484",763
"120.51699786508065, 30.31358262645205",377
"120.29163026009299, 30.16308937347157",240
"120.2365517357153, 30.010278859652484",668
"120.21512831709948, 30.010733425981844",243
"120.23337317149878, 30.01774555257031",587
"120.21577976825532, 30.02503015959765",869
"120.1806254636402, 29.954894507292433",243
"120.23718315465825, 30.024576363023282",722
"119.45521719127755, 30.0276950483873",700
"120.14440470752324, 29.99314818593134",1018
"120.14647323562038, 29.993575696816603",461
"120.1176228067187, 29.965609111550904",1024
"119.68812598119095, 30.1663310428306",1132
"120.61863565387104, 30.349442277126315",1751
