经纬度,count
"120.66741804475984, 30.363203951702147",932
"120.64612829400392, 30.364348488404776",781
"119.08539072521015, 29.61227527983025",781
"120.4674919789341, 30.326383975117782",1285
"120.26416762336414, 30.241186996514745",781
"120.27673886999297, 30.226571883559497",1285
"120.5483989426569, 30.28478284977984",3167
"120.51338119726692, 30.315992497270077",781
"120.60264204291029, 30.347058014768823",781
"120.53969436226521, 30.186171986828843",1221
"120.591303900255, 30.29949468602785",781
"120.57317870014964, 30.32558298565019",1730
"120.27041996715433, 30.269787413088803",1019
"120.22527395919028, 30.19109725436644",1083
"120.54540363276443, 30.28301769443426",2650
"120.28189532328135, 30.235637259484783",781
"120.61291524438352, 30.33835610082618",1709
"120.38908077740972, 30.172893987053694",781
"120.64728791658675, 30.263678254970177",1128
"120.21969575146495, 30.18617144051694",781
"120.20498572924743, 30.191604517036634",781
"120.5545478438727, 30.30092956927762",1309
"120.52789700583321, 30.3007620490965",893
"120.5677346992675, 30.290111490760776",323
"120.57089161432124, 30.290260162730636",323
"120.24600379612184, 30.20419681784425",323
"119.63753744063553, 29.80522694216677",2169
"119.53789326129633, 29.925059378168037",323
"120.43925778760276, 30.209859221520322",1454
"120.5650227149329, 30.220900387277787",104
"120.5077830471593, 30.197958733858062",133
"120.25685128430756, 30.042743315231817",133
"120.27212291006214, 30.260785188881464",439
"120.38258009975621, 30.197519941385732",405
"120.53543100431486, 30.201371540115925",1940
"120.43578682494275, 30.252131487442817",978
"120.42171989963981, 30.24968953623647",507
"120.25804073063333, 30.005936292551276",301
"120.25823593242065, 30.005567086132018",301
"120.25340366077914, 29.977367846758565",511
"120.55280558033608, 30.188856682598423",1116
"120.25562195321716, 30.051942132216734",1175
"120.26571926647152, 30.18829243436121",992
"120.27357701425895, 30.191890690058525",1183
"120.52730502250215, 30.167392112502142",1186
"120.25157535638635, 30.039161765190013",118
"120.24943029265908, 30.03829134975615",118
"119.90521534158196, 30.060831258856933",118
"120.24889696867783, 30.038047794629307",118
"120.24562785526591, 30.037170256428222",118
"120.19662591851046, 30.043121760886",300
"120.46497753198113, 30.1908573572244",1513
"120.47946746934873, 30.19427579675043",1101
"120.29863857019018, 30.285817446681342",479
"120.27475568091859, 30.262945841018485",672
"120.46262334273115, 30.223801318778044",2252
"120.52191105723693, 30.166686529386386",188
"120.47116721626709, 30.221968586715796",311
"120.47311213752674, 30.227194184910154",743
"120.53366736110712, 30.171675850294246",536
"120.53237856219195, 30.167218039478218",140
"120.42866730462342, 30.210585324966722",1226
"120.39119188518872, 30.252489624731968",545
"120.39520084301863, 30.25313640547989",545
"120.57679078660526, 30.191780341466195",508
"120.6068780025426, 30.202346159772507",333
"120.61956270515735, 30.22495475518294",993
"120.6072642739119, 30.205242493951904",613
"120.60701229921634, 30.20937117022443",435
"120.4705697532724, 30.219801203128704",552
"120.2654560629571, 30.14788596220241",971
"120.26438941589285, 30.17930438039028",475
"120.29567667726268, 30.415405885039377",1091
"120.25981596198216, 30.18269293259439",971
"120.26694577867924, 30.176904877719306",475
"119.6571839893868, 29.718019788503746",1160
"120.25181080226054, 30.174022034008512",1118
"120.26015516214272, 30.173501800855032",1628
"120.53841230064137, 30.19853954753208",500
"120.51193474573476, 30.18302713073329",300
"120.05325842522065, 30.258307065190422",250
"120.2418282026198, 30.112227361773847",390
"120.25048975417755, 30.133524538496818",270
"120.26130139997345, 30.139042766903344",270
"120.51780705868404, 30.218390322134287",144
"120.27332252340966, 30.164544526944013",118
"120.30819528318862, 30.19058920864673",723
"120.2813375653902, 30.03286038018141",1404
"120.26158597507425, 30.155847962928764",1620
"120.27310782929109, 30.07031717382955",1247
"120.27908901686818, 30.073014195705344",1247
"120.26298203975206, 30.0647563878136",2326
"120.27997303932054, 30.075358216749336",1247
"120.26735508080519, 30.266240100737292",1247
"120.58330350155259, 30.169040482780833",225
"120.5869097490224, 30.212450963109188",898
"120.49319007414971, 30.182410088622703",541
"120.32103422485943, 30.040008568195173",185
"120.30605057878356, 30.015879323475883",185
"120.16422599825546, 29.93717262727826",120
"120.44753693050491, 30.318949045383125",504
"120.44610709762468, 30.316469881374072",1370
"120.20548204304168, 30.208518108426738",734
"120.27459021304365, 30.214576690591947",504
"120.47861560623363, 30.309286970375105",955
"120.44639886725432, 30.332717466173115",2318
"120.45234502091651, 30.305362006142627",504
"120.46939099678221, 30.338531971703873",504
"120.45551523089178, 30.336306795861557",736
"120.44735466431695, 30.327038758440352",504
"120.4475494169515, 30.32038800544617",504
"120.46598210703294, 30.336560594412504",504
"120.10790504430915, 30.293122696946313",674
"120.46245095790377, 30.298601020635818",146
"120.46620749188538, 30.293683375174595",146
"120.46361597031967, 30.29669532810589",146
"120.46386048907948, 30.29473307897557",146
"120.44503541915128, 30.304534184303794",146
"120.46374882970458, 30.297573575903247",146
"120.09890581971018, 30.297651297254465",146
"120.21045892505862, 30.31656013593326",438
"120.46469402676219, 30.293474836306277",146
"120.46518701682606, 30.297793019678554",146
"120.45388902842707, 30.286943016339738",146
"120.33471398048758, 30.1671281146375",589
"120.33437131107114, 30.184790052306525",679
"120.33241701329857, 30.165686105417766",597
"120.20414410681514, 30.413391458120607",589
"120.29147727866462, 30.18116834393109",491
"120.27375875673482, 30.22179595557378",498
"121.66048930637687, 30.964795553515252",449
"120.24605266394157, 30.243497031565536",201
"120.26198860368858, 30.22370653120854",449
"120.28183271138731, 30.217948891002663",2658
"120.29581160275026, 30.22865205671587",633
"120.27430113833054, 30.221452588245835",449
"120.27174914220726, 30.222096922771836",201
"120.27463944018561, 30.225393190056344",449
"120.28944683872042, 30.170604367563566",145
"120.28077603461591, 30.171339974078748",1652
"120.28556669790063, 30.16632128527622",475
"120.30975204663743, 30.432643276656453",290
"120.32907957207466, 30.20591282363005",290
"120.31895797133421, 30.213115331077425",290
"120.2641324996187, 30.1223388433845",92
"118.14760982483591, 30.27865098018807",649
"120.43204457401873, 30.28438709600888",265
"120.54004380310859, 30.254331764775184",638
"120.134218012874, 29.91369493815548",320
"120.27151908571699, 30.166420986203555",565
"120.27052145142271, 30.168822839784486",213
"120.27170507672876, 30.164544075824523",318
"119.49690456902566, 29.515113225406306",213
"120.35653903149691, 30.236548274884065",936
"120.34592458352319, 30.199258955655335",395
"120.31821516250801, 30.145002368977682",2111
"120.48744702736332, 30.19471507205322",380
"120.25614791109327, 30.201780428972942",444
"120.2591768176118, 30.185908039783026",444
"120.25871329196866, 30.199249972449675",444
"120.25706579966335, 30.18724665444381",520
"120.1984794919811, 30.1171440813442",288
"120.18280382637427, 30.250358914620627",453
"120.24746722562814, 30.306872412031073",941
"120.33839308053425, 30.225948095989693",605
"120.34642797416824, 30.20054306672761",170
"120.5653477218664, 30.19903600274814",515
"120.58420342401249, 30.186033769822107",410
"120.56806626383124, 30.18480237329637",220
"120.55960799881039, 30.177860355699135",220
"120.42168702165814, 30.250661098552595",789
"120.36848263206592, 30.214487199531657",789
"120.27072228917879, 30.189912122401825",2111
"120.49131701733086, 30.26551534822389",816
"120.3689085187082, 30.21541214457945",789
"120.271294240297, 30.116681903293543",310
"120.26955485133801, 30.122998124187376",310
"120.27107343680264, 30.142604814188548",730
"120.39962814172458, 30.250001978383533",345
"120.44981709938088, 30.266420937110166",1119
"120.19857432636803, 29.977007605462074",132
"120.3606719554872, 30.312962982474648",258
"120.29052266467038, 30.247829699298695",604
"120.29025198994903, 30.242961101456032",258
"120.29051752905777, 30.242789425359295",258
"120.2895346929993, 30.243473709970342",258
"120.29062572097338, 30.24230997867031",604
"120.52022098525045, 30.166268906707657",258
"120.29169152452876, 30.24268342438321",451
"119.95760397994057, 30.25917505396341",346
"119.87731307413654, 30.27311920994603",1459
"119.7317324255618, 30.235498566607337",346
"120.33371838849087, 30.316075114115765",346
"120.2751461743238, 30.214676168352355",346
"119.17996962927188, 29.56596486562434",346
"119.2931405828064, 29.477164299331708",346
"120.30113603916901, 30.239655288861773",830
"120.29166682112724, 30.258947802305677",346
"120.24631155558956, 30.211683052643586",346
"120.19969003860501, 30.343483965647945",346
"120.28862785358697, 30.26484346179004",346
"120.29095850723262, 30.260416662169618",346
"120.4102630009961, 30.25107804766297",646
"120.35754558282083, 30.31971564129044",346
"120.28776862436668, 30.246159166614362",841
"120.1899264458476, 30.06524031727356",346
"120.18942129991356, 30.257806336255936",346
"120.28369130548745, 30.319365779391763",346
"120.3362872619781, 30.231032861327645",346
"120.12720765344645, 30.28781090529504",346
"120.28620009311571, 30.230632568046722",538
"120.48729862729307, 30.275147939139575",151
"120.27202336164214, 30.071892083758765",151
"120.25066995426286, 30.048547316740887",395
"120.22067059260438, 30.083065900011015",134
"120.5123964747669, 30.264172350532696",349
"120.54967600521057, 30.286527174094466",445
"119.84553174383792, 30.47644865235166",445
"120.55202540200067, 30.283315059865103",445
"120.55595908182887, 30.284850679756016",445
"120.55544866463809, 30.284389902778894",445
"120.2605856301431, 30.082863472872603",71
"120.2734154090977, 30.06723766335881",302
"119.96623301283886, 30.256516472676356",606
"120.29553285855053, 30.208494154237524",606
"120.38491704154042, 30.254647077627933",606
"120.4044108999208, 30.25042758755171",314
"120.379334252457, 30.241359611443162",606
"120.37735277016309, 30.247723373894527",606
"120.38719496465262, 30.25464310015335",606
"120.37618748825554, 30.2452878637837",1239
"120.38457227188569, 30.24976277226664",606
"120.31643885319258, 30.172230827981917",606
"120.26638796509314, 30.188444149560876",606
"120.38093620067295, 30.22944877505572",606
"120.61238425599656, 30.296306794857195",743
"120.28010032921132, 30.21941758969914",222
"120.31107902353675, 30.208522633973224",360
"120.31842374904744, 30.264590099509082",526
"120.31680042116035, 30.24310196766806",1995
"120.58612966051753, 30.34915298362547",1715
"120.23046158367985, 30.22438853156565",526
"120.56122602669497, 30.293499549160046",738
"119.47471166191731, 29.935494924022727",985
"100.31839824092819, 30.94546952526588",210
"120.19529418059192, 30.104526192687754",85
"120.19986718445156, 30.105237458141985",85
"120.19374801714815, 30.084090842112385",125
"120.19602171822444, 30.08364856907542",125
"120.1928395607859, 30.083924980191853",125
"120.19542245861875, 30.084629676568",125
"120.19211166383117, 30.084180452745763",125
"120.19351311025729, 30.084613192043303",125
"120.21817707616978, 30.08624811525269",125
"120.1971519662171, 30.085692805361155",125
"120.19497555162754, 30.084250063041683",125
"120.19759240540864, 30.082804330630815",125
"120.19574504012739, 30.0952991911206",125
"120.21001929434203, 30.09041424521958",125
"120.57267654736955, 30.28311983106401",1162
"120.35688559776266, 30.17772173665619",2036
"120.31849103213014, 30.20472008646416",2605
"120.24894799243079, 30.03792468806906",668
"120.24693408130796, 30.178087952754577",480
"120.52249306937684, 30.343222081696187",642
"120.5707631566333, 30.32070739042629",383
"119.22066942649064, 29.3739263034017",1272
"120.56087317229064, 30.289638030999306",234
"120.31384975705174, 30.233180775001482",234
"119.55230612404642, 29.556736965078894",234
"120.3414056378925, 30.18730198740853",570
"120.25548233972854, 29.962797043718346",650
"120.24895410090825, 30.06491712486201",656
"120.28838306533551, 30.162963769985254",426
"119.06861307320581, 29.619113963066663",585
"120.34632455854302, 30.19715710097023",209
"120.34555728616286, 30.197833062975032",209
"120.27073396715042, 30.189934130119955",2041
"120.33944050475888, 30.203030494571113",874
"120.61157497256262, 30.33796469541906",251
"120.65141392362463, 30.28483165618128",290
"120.27620204262021, 30.216351124515082",344
"120.6422280311407, 30.288398745187173",120
"120.23954972884633, 30.361847026785956",666
"120.1856460931338, 29.960426083464792",483
"120.18714922774315, 29.95550719520017",123
"120.27535080831896, 30.252353373614714",189
"120.2590466531434, 30.46574341124468",129
"120.45755240812731, 30.178123700117638",129
"120.46039689252466, 30.18382219302436",1062
"120.31564340366351, 30.423498440585306",129
"120.22471503350197, 30.089056022581786",89
"120.27058538741908, 30.234898471918953",515
"120.33680316961214, 30.31580536206036",126
"120.30854391555705, 30.412721997577272",126
"120.46658054558742, 30.189793016389018",785
"120.37226548639899, 30.18463449695398",225
"120.24659164724756, 30.04462857287282",611
"120.3102699835436, 30.194413455417425",127
"120.29647482170829, 30.169738789510046",645
"120.3271844735335, 30.243974070058634",403
"120.31349816027513, 30.238990945973626",272
"120.30058250331378, 30.26364885558119",272
"120.48981406238211, 30.2507018888269",238
"120.2714659963105, 30.235079834606076",73
"119.22833390235205, 30.170267368942675",111
"120.46764001968216, 30.288606047557785",111
"120.47891986230985, 30.312493453383805",111
"118.9576614896472, 30.294423431177016",214
"120.31409587592972, 29.942766303751405",87
"120.2661669819377, 30.175374939437507",185
"120.26602154627562, 30.36806993091633",185
"120.26090156419096, 30.149857106401775",120
"120.25914268200242, 30.150420171618006",240
"120.3029492688409, 30.095270912694467",427
"120.22617289351412, 30.107590158696137",265
"120.23263701013336, 30.025742784057506",124
"120.23961289140163, 30.0349383491583",124
"120.41465203188729, 30.166741639834427",124
"120.24915720778405, 30.025861137377447",293
"120.46601956637271, 30.18119074386536",384
"120.45210782244831, 30.26623124809028",124
"120.33297863390341, 30.231845521628795",649
"120.2452010703181, 30.195810325268308",129
"120.21578390046066, 30.08202032144785",69
"120.2956830552318, 30.163400844440034",125
"120.29537125338928, 30.163561887811603",125
"120.28814178047554, 30.154510963096605",125
"120.28415702748757, 30.18373118927583",450
"120.30155375123115, 30.19466231854177",450
"120.35990300597068, 30.236745079299684",625
"120.47725575135262, 30.26063689175412",235
"120.2225435595927, 30.12497562754527",770
"120.48143547706, 30.296865505802796",234
"119.61550820479106, 29.540654414544726",622
"82.61582303052585, 41.55399962847732",193
"120.64662577559535, 30.293022987561926",519
"120.48702410512921, 30.311399981160566",70
"123.4327495995516, 41.817829040653784",70
"120.46979469527838, 30.181333884787282",200
"120.46455453069615, 30.184429893544248",465
"120.54683499276403, 30.180839836986998",195
"120.53727396789913, 30.174127485281815",105
"120.27609478494232, 30.21612650354949",64
"129.4893679801412, 44.34698357750037",64
"120.46772706548607, 30.28465638962881",80
"120.35399458113989, 30.172846295326423",264
"120.35472948487761, 30.17343685932738",134
"120.23858999091743, 30.168713261990373",180
"120.52716381785903, 30.167053645487993",94
"120.28254497782616, 30.163479063309047",180
"120.54409156773656, 30.28139121260875",174
"120.5430692960662, 30.284711043512065",174
"120.2559857669487, 30.021409265738193",169
"120.24629197252943, 30.013442797809272",169
"120.23563779968943, 30.031646439480223",266
"120.24592088252327, 30.03622525461044",169
"120.25477763586834, 30.038591962856163",169
"120.20944940932651, 30.09866801498496",141
"120.48314207786785, 30.236555841291867",113
"119.93706602106595, 30.050189172283886",1649
"120.16777637112138, 29.941253234387222",97
"120.33707005617914, 30.166994007820062",300
"120.16934303271418, 30.218127242527917",120
"120.30641906370374, 30.150123961619176",120
"120.2830444356897, 30.1885969571211",965
"120.28356913593808, 30.155403766208916",1500
"108.27949435764451, 22.78704575358756",408
"120.32611872387646, 30.194258706411738",408
"120.2717719591672, 30.16401113730541",1786
"120.32315458518518, 30.19448790399224",408
"120.15919783977613, 30.227568250311542",408
"120.31995464129754, 30.192989018531694",408
"120.30812503569774, 30.19402529422585",408
"120.31527950010143, 30.194246064241458",408
"120.31322669235, 30.192105221723917",408
"120.33013388001442, 30.19458950928454",408
"120.3111053438882, 30.19179056471444",408
"120.32862472675765, 30.194459264078887",408
"119.90991940821552, 30.289166050207474",103
"120.49616445352379, 30.260545493417702",103
"120.50070009595898, 30.26618910622298",272
"120.49157635813158, 30.25956357976082",103
"120.50163989509876, 30.26518385051852",2753
"120.49782842434537, 30.261032526320864",103
"120.44779667464482, 30.264693245876565",103
"120.497866383143, 30.25955585917097",103
"120.51517897608406, 30.253347916591466",103
"120.51623870709417, 30.25651779847569",273
"120.29505091764442, 30.17781625675695",416
"119.2766809309525, 29.478859424347256",148
"120.51657215809948, 30.31476243323213",148
"120.51335245149062, 30.318588269348446",148
"120.52005946991977, 30.313361347755173",148
"120.51533859688841, 30.31206005793349",148
"120.52095076864676, 30.313103981055807",148
"120.51139486412328, 30.31678132939423",148
"120.51466801990998, 30.31720898424317",148
"120.51916296102081, 30.313731963955906",148
"120.51340617016011, 30.316766287007823",148
"120.36386498242243, 30.17650514317008",569
"120.27783722814002, 30.218609788652454",569
"119.94676592396269, 30.288564025789192",749
"120.4806976089141, 30.23727144920142",569
"120.18165044701472, 30.270660319040307",569
"120.31846381347317, 30.1575905372446",220
"120.41929528323783, 30.220270009923386",533
"120.41859918629814, 30.230667438040438",430
"120.51133018612656, 30.190785091411396",267
"120.5303265629155, 30.267653095263967",235
"120.55449798791689, 30.271045601896464",995
"100.62662348005355, 36.28870331786534",235
"120.2584299664108, 30.19579612256223",183
"120.20042009149296, 30.265665227549256",1102
"120.36319080413719, 30.19187828170112",357
"120.36350979242378, 30.192987847945197",357
"120.34620519440178, 30.195658231346737",357
"120.36200971205267, 30.193482848702434",357
"120.27817723677556, 30.276965790482237",357
"120.170868175809, 30.285969243807543",484
"120.43253729459096, 30.235302773738606",304
"119.65054301797413, 29.76463199186437",304
"120.3286931776375, 30.21992252046377",243
"120.35212421923758, 30.218039861244023",243
"120.17438090967522, 30.180230585969362",1023
"120.20839920035479, 30.24941180037497",468
"120.36085826404998, 30.193483394973367",243
"120.35124423916, 30.216965845238235",243
"120.20566709397674, 30.24495036930949",243
"120.16785903201168, 30.275975075853815",350
"119.36643579159669, 29.85435463490303",1018
"120.25569732104945, 30.31618477617868",536
"120.41519290163485, 30.162836917325706",404
"120.30800259665673, 30.195351077377797",404
"120.62501353316134, 30.284023696573307",404
"120.3069465486992, 30.19639716054533",775
"120.30902684459922, 30.19641409443639",404
"120.309836756847, 30.196362824536013",404
"120.30925734979307, 30.422669292543006",404
"120.29445695804122, 30.218815445417192",404
"120.30441305766942, 30.19509620752145",775
"120.40452390675395, 30.223232591976853",404
"120.30359020982226, 30.216979732779244",404
"119.66778376308693, 30.19600744612909",558
"120.29961332149905, 30.19632037272595",452
"120.22396270263735, 30.08257479276754",877
"120.31172400689292, 30.196088136026",371
"120.33022972921232, 30.195689992385365",371
"120.30399480662396, 30.194519665412198",371
"120.3086603287647, 30.19174320749795",371
"120.27167072013623, 30.038774237433305",371
"120.30029874746756, 30.19266681781313",371
"120.30132459349556, 30.1926301940919",371
"120.30492221723247, 30.193728592272098",371
"120.30796235256989, 30.194444358834552",371
"120.46815699450316, 30.293845060702928",371
"120.30553800565956, 30.193968326272167",371
"120.1569714794002, 30.27789739297574",371
"120.30083986784237, 30.19316476242532",371
"120.3296334340148, 30.194560557249673",371
"120.4803692782502, 30.236554203203628",371
"120.22159270321038, 30.25987404054758",371
"120.31643597861495, 30.19693061571827",371
"120.32617962899003, 30.167527389664613",325
"120.24502203802997, 30.007744304963897",93
"120.25122501723747, 30.172976101069576",207
"120.2428503844596, 30.167487267086646",355
"120.28449852281871, 30.16239211205134",256
"120.2857001860994, 30.161649646502998",125
"120.30142960540967, 30.1674698598152",675
"120.29508002274295, 30.16880810305283",615
"120.28978594905044, 30.185856842402234",308
"120.0977981922561, 29.839606615720033",137
"120.29223904173709, 30.19724307113722",81
"120.15828442595333, 29.928897522103366",121
"120.60337721613966, 30.346212082677162",414
"120.57327185443101, 30.32520407589302",564
"120.15730545260887, 29.92615733625922",540
"120.46339319055319, 30.19048697485628",120
"120.46455335211932, 30.190154128986688",120
"120.5060347649758, 30.282744497913583",150
"120.49716929806726, 30.276265523303028",300
"119.68646251521706, 30.298293862729096",981
"120.47377882663893, 30.236923877053293",866
"120.47552291732895, 30.23509161084419",981
"120.20074563740978, 30.038352160280777",121
"120.19769265630356, 30.03705269838523",121
"120.56512655904984, 30.168081063944072",656
"120.42166519283425, 30.266936229250256",630
"120.27208034744878, 30.107418244211228",280
"120.27788753324859, 30.142340202734978",100
"120.47618459838793, 30.236638524539817",541
"120.47650043362219, 30.23715534073266",541
"120.47587514561434, 30.240539980309585",541
"120.47785312451676, 30.235821272958034",541
"120.47902029286585, 30.239773773397143",541
"120.4770880377139, 30.241243078849973",541
"120.26226213771636, 30.238335412863744",164
"120.34019984240646, 30.19275341820566",1009
"120.34182651827818, 30.194647994163606",164
"120.17951760024238, 30.27636844675453",150
"120.27405393633218, 30.15347639221859",427
"120.27151091158599, 30.15179877765525",642
"120.27595132555237, 30.159324711543658",282
"120.27219874411499, 30.154465916763105",642
"120.27267709179905, 30.180795661342994",810
"120.21982663457777, 30.00814329232244",119
"119.9579342868766, 30.269319497841327",179
"120.3766110393035, 30.21082610984914",179
"120.38032885991088, 30.201575203968442",407
"120.37593407537288, 30.20550306983787",407
"120.3766730223837, 30.20938412253661",179
"120.10383922374042, 30.326679493203816",179
"120.37634460188924, 30.208537927197728",179
"120.33124822799952, 30.19621400901034",179
"120.386221560802, 30.213575353500566",179
"120.38583473607652, 30.208425026393797",407
"120.38124860078693, 30.207002403147243",179
"120.6064605599721, 30.318471907295184",179
"120.38610397261074, 30.216100132592835",179
"120.38408395301046, 30.21028196325661",291
"120.2890217605531, 30.167064495885032",179
"120.38592467891571, 30.20954307192299",378
"120.37695841404421, 30.214518408280416",179
"120.38112585632206, 30.216733421419598",179
"120.37748464141195, 30.216327640374466",179
"120.37872316935417, 30.20288424732229",179
"120.38142011515625, 30.204471485373357",407
"120.46623659698392, 30.296352789042814",541
"120.58938152646365, 30.163012169110377",245
"120.41308394978907, 30.262520130671575",245
"120.42173508100292, 30.249850515041675",340
"120.41904205091457, 30.262976566331357",558
"120.42172798438939, 30.25335704150738",340
"120.40692031636291, 30.260317309141367",245
"120.22851594377579, 30.337954721300832",340
"120.42091411959734, 30.253416938370133",435
"120.44086988667095, 30.27098789923849",245
"120.43549496548256, 30.252062074793002",340
"120.40298096014222, 30.257804117443154",245
"120.43647618459111, 30.252071745771904",340
"120.53311499304903, 30.68531287985719",340
"120.41840164891649, 30.26276835145765",245
"105.77658344485114, 26.063829083031695",111
"120.24418955855116, 30.156983540232982",755
"120.5520147121651, 30.217952245824396",340
"120.54774129319303, 30.21865433725253",340
"120.03284407318421, 30.25169582475523",190
"120.31029094011286, 30.194901347907432",190
"120.53638822159849, 30.174981474355743",419
"120.55107795917931, 30.21598107309611",340
"119.23566097765008, 29.603821024204226",509
"120.5240599836779, 30.229088056623006",170
"120.51750298226891, 30.227412071355232",170
"120.5343020139499, 30.220869102557298",170
"120.56745251455767, 30.33301940233037",170
"120.5161517511208, 30.22620210501726",255
"120.51558919448162, 30.226242439343103",255
"120.52776387695663, 30.226606442959078",170
"120.51715994185228, 30.231503951637784",170
"120.53545903144676, 30.22504408059755",170
"120.53459414290177, 30.22226855735446",170
"120.51548018331138, 30.228864895513887",255
"120.51536791308875, 30.22577653872885",255
"120.06961737703232, 30.15297008563593",374
"120.54956314659782, 30.22337886976362",224
"120.55593141401916, 30.230428184387197",224
"120.55519902553688, 30.226888066502905",224
"120.27522576419197, 30.20971807312346",224
"120.55210202746068, 30.22925008364492",224
"120.55690598566693, 30.232120109318284",1167
"120.26528484592689, 30.1885193046881",309
"120.47417698887828, 30.236367070942183",90
"119.7286891946636, 30.23848450350881",90
"120.30219100915993, 30.151805647995644",480
"120.2191301783159, 30.052662845215387",299
"119.71186190588448, 30.26187815375961",484
"120.28162619095056, 30.158953272643696",244
"120.28256078800314, 30.159105501871977",104
"120.28107642797845, 30.159397234862986",104
"120.44143896321152, 30.200010099527287",98
"120.4422273161271, 30.201698261178155",98
"120.18320460537754, 30.06982225205561",188
"120.30229197869924, 30.21627006129477",121
"120.55372697229767, 30.242223617487646",696
"120.46165949146132, 30.187302203784544",134
"120.18002092081963, 30.144445128370133",140
"120.16978194478635, 30.141525828966",140
"120.27176482662145, 30.16921130229153",105
"120.41020829419054, 30.264111524509985",95
"120.60094729973517, 30.16974706362644",229
"120.57447073296464, 30.170498834425263",229
"120.08122249608518, 30.44901029829591",229
"120.31910430530179, 30.172286169465725",229
"120.60079925898714, 30.171611610057077",229
"120.58956999095965, 30.16780910590019",229
"120.60269109039115, 30.176168503054615",229
"120.21357802145036, 30.287085923848963",229
"120.58601485707337, 30.159121193178933",229
"120.6014359779326, 30.16439512493824",229
"120.26222977176884, 30.175086778710146",981
"120.25119106128919, 30.17852628632806",1002
"120.18957134567951, 30.48420440823146",335
"120.43185530104778, 30.162340980392013",335
"120.4141704170661, 30.13902371163122",335
"120.33209236568726, 30.14036703288081",180
"120.41856325407774, 30.183133899070615",221
"120.56655001396096, 30.336583659891097",689
"120.58421034096492, 30.36148462835702",109
"120.5071029400577, 30.242198891593016",109
"120.55608574290576, 30.23039900897484",946
"120.4605986519422, 30.23351565807378",187
"120.50104683380108, 30.230572891182863",187
"120.5620479762366, 30.22677011236431",391
"120.26970495818874, 30.211060184018518",297
"120.46809923345887, 30.237200075856116",187
"120.18717511573165, 30.071642370436827",420
"120.25525715134957, 30.045566146985713",148
"120.29111696832457, 30.18351008482475",633
"120.27532457779806, 30.167609352078056",633
"120.29548057716984, 30.186771445221314",813
"120.26684852632812, 30.14691563903399",633
"120.25483836132081, 30.04610886668407",130
"120.2543835788852, 30.167214170057743",150
"120.25148043334143, 30.16425278927503",150
"120.25370186830824, 30.16802903579051",150
"120.25412290410078, 30.167546078193766",150
"120.24850547995013, 30.169272516548446",613
"120.28670368318461, 30.23125180110991",74
"120.47401825829465, 30.302138761749198",74
"120.29876109906172, 30.228742002821875",225
"120.2946390445681, 30.231682094781107",225
"120.10193104317614, 30.316364038701135",562
"120.30245385335215, 30.229154833319498",225
"120.29550276531594, 30.231505718290602",225
"120.30037301846885, 30.231351495860757",225
"120.30272082974972, 30.227111492468943",225
"120.30347387925873, 30.227850027095425",225
"120.28416908274751, 30.26101335700866",225
"120.28645989564548, 30.228697001305427",151
"120.2921576741223, 30.257960177120168",151
"120.2959435638297, 30.231051163164082",151
"120.29855777389768, 30.228715468105165",151
"120.26330399244684, 30.211531061518805",660
"120.26345903997786, 30.198268142621185",660
"120.2652809832132, 30.199988094083878",660
"120.26674373980177, 30.19997423862399",660
"120.26440899805466, 30.2148950970892",660
"119.67879966693391, 29.80143311545095",660
"120.26407608603267, 30.214815593089494",660
"120.26515926281661, 30.198047147609902",660
"120.27295430887945, 30.21268027395112",660
"120.26402686248395, 30.214857340265524",660
"120.42319618030473, 30.164958921897924",734
"120.42302747314014, 30.28239068232794",375
"120.41355807543725, 30.284172065998614",520
"120.4189064966131, 30.28204731312764",520
"120.4163180292861, 30.279457658997476",520
"120.41803037924922, 30.281360259212768",520
"120.4156351374374, 30.28022238370029",520
"120.10847670917188, 29.910187496522827",91
"120.28308899164301, 30.168736289252696",151
"120.27187939650621, 30.17435431050638",81
"120.27730641941417, 30.15229219178138",81
"119.95657101484143, 30.05179165672431",90
"120.27685749932031, 30.167667695223784",90
"120.2763833179772, 30.16758362556702",90
"120.2777720929058, 30.167150591874396",90
"120.29299514548484, 30.004451483208058",90
"120.2736531905662, 30.168096675749073",439
"120.19969370313866, 30.4821270982556",90
"120.32350770908116, 30.42962410591411",329
"120.27717168526564, 30.16748076582239",90
"120.52967295582644, 30.166906970991846",254
"120.22641357201786, 30.19544364897249",265
"120.46193576711752, 30.184822951123046",90
"120.45776920158586, 30.180825439865842",336
"120.30881041046287, 30.425871425362004",90
"119.75292758474752, 30.016569811266837",230
"120.20764309660704, 30.205734857519133",230
"120.44604322810292, 30.30014154371985",230
"120.45098669315489, 30.26760630769455",745
"120.25166599541232, 30.41640296099521",407
"120.44585817716786, 30.300939313346273",230
"120.42595689950988, 30.32103542319138",230
"120.16220437848747, 30.31648593702718",230
"120.21451001341697, 30.215117068167817",230
"120.17574667658657, 29.944803070116254",120
"120.26660292960169, 30.239842336798382",99
"120.43396012068821, 30.264206272721133",119
"120.53117141924763, 30.25450396643018",552
"120.51993792918425, 30.25727459298306",410
"120.37406101945233, 30.195679223287442",228
"120.37439357215213, 30.19689706025658",228
"120.37522001322131, 30.19834071502618",228
"120.40053235628818, 30.205380409997712",228
"120.37580498976939, 30.203445072710707",228
